OBJECTID,URN,SCHOOL_NAM,TYPE,PHASE,ADDRESS,TOWN,POSTCODE,STATUS,GENDER,EASTING,NORTHING,WARD_NAME,LSOA_NAME,LA_NAME,WEBLINK,AGE,map_icon,NEW_URN,OLD_URN,map_icon_l,Primary,x,y
1,135155,Ayesha Siddiqa Girls School,Other Independent School,Not applicable,165-169 The Broadway,Southall,UB1 1LR,Open,Girls,521263,180470,Southall Broadway,Ealing 026C,Ealing, ,19-Nov, , , ,2,0,-0.378496,51.5074997
2,140492,Beis Medrash Elyon,Other Independent School,Not applicable,233 West Hendon Broadway,London,NW9 7DG,Open,Boys,521939,188148,West Hendon,Barnet 036F,Barnet, ,16-Nov, , , ,2,0,-0.241628,51.5789986
3,141411,Big Creative Independent School,Other Independent School,Not applicable,Silver Birch House,Walthamstow,E17 5SD,Open,Mixed,535764,190188,Higham Hill,Waltham Forest 014C,Waltham Forest, ,15 - 16, , , ,2,0,-0.0425897,51.5940018
4,142336,Wetherby Senior School,Other Independent School,Not applicable,100 Marylebone Lane,London,W1U 2QB,Open,Boys,528432,181474,Marylebone High Street,Westminster 011B,Westminster, ,16-Nov, , , ,2,0,-0.150409,51.517601
5,100042,St Mary's Kilburn Church of England Primary School,Voluntary Aided School,Primary,Quex Road,London,NW6 4PG,Open,Mixed,525453,183984,Kilburn,Camden 020C,Camden,http://www.stmarykilburn.camden.sch.uk/,11-Mar,VOLUNTARY, , ,2,1,-0.193367,51.5404015
6,100224,De Beauvoir Primary School,Community School,Primary,80 Tottenham Road,London,N1 4BS,Open,Mixed,533252,184710,De Beauvoir,Hackney 021E,Hackney,www.debeauvoir.hackney.sch.uk/,11-Mar,STATE-FUNDED, , ,2,1,-0.0769998,51.5452995
7,100235,Queensbridge Primary School,Community School,Primary,Queensbridge Road,London,E8 3ND,Open,Mixed,533902,184050,Queensbridge,Hackney 020E,Hackney,www.queensbridge.hackney.sch.uk/,11-Mar,STATE-FUNDED, , ,2,1,-0.0717606,51.539299
8,100239,Princess May Primary School,Community School,Primary,Princess May Road,London,N16 8AJ,Open,Mixed,533512,185478,Stoke Newington Central,Hackney 014F,Hackney,www.princessmay.hackney.sch.uk/,11-Mar,STATE-FUNDED, , ,2,1,-0.0776093,51.5527992
9,100263,Holy Trinity Church of England Primary School,Voluntary Aided School,Primary,Richmond Road,London,E8 3DY,Open,Mixed,533659,184613,Queensbridge,Hackney 021I,Hackney,www.holytrinity.hackney.sch.uk/,11-Mar,VOLUNTARY, , ,2,1,-0.0735189,51.5427017
10,100483,Marlborough Primary School,Community School,Primary,Draycott Avenue,London,SW3 3AP,Open,Mixed,527415,178681,Hans Town,Kensington and Chelsea 014C,Kensington and Chelsea,http://www.marlborough.rbkc.sch.uk,11-Mar,STATE-FUNDED, , ,2,1,-0.166066,51.4926987
11,101212,Rush Green Primary School,Community School,Primary,Dagenham Road,Romford,RM7 0TL,Open,Mixed,550976,187161,Eastbrook,Barking and Dagenham 003C,Barking and Dagenham,www.rushgreenprimary.org.uk/,11-Mar,STATE-FUNDED, , ,2,1,0.176705,51.5630989
12,102220,Welldon Park Primary School,Community School,Primary,Kingsley Road,Harrow,HA2 8LS,Open,Mixed,514400,186000,Roxeth,Harrow 030B,Harrow,http://www.welldonparkinfantschool.co.uk,11-Mar,STATE-FUNDED, , ,2,1,-0.351077,51.5612984
13,102272,Elm Park Primary School,Community School,Primary,Southend Road,Hornchurch,RM12 5BG,Open,Mixed,552881,185723,Hacton,Havering 023A,Havering,http://www.elmparkprimary.co.uk/,11-Apr,STATE-FUNDED, , ,2,1,0.203542,51.5497017
14,103042,Davies Lane Primary School,Community School,Primary,Davies Lane,London,E11 3DR,Open,Mixed,539823,186967,Leytonstone,Waltham Forest 024D,Waltham Forest,http://www.davieslane.co.uk,11-Feb,STATE-FUNDED, , ,2,1,0.0118644,51.5644989
15,134222,City of London Academy (Southwark),Academy Sponsor Led,Secondary,240 Lynton Road,London,SE1 5LA,Open,Mixed,534462,178489,South Bermondsey,Southwark 010C,Southwark,http://www.cityacademy.co.uk/,19-Nov,STATE-FUNDED, , ,2,0,-0.0659039,51.4889984
16,137009,Rivers Academy West London,Academy Converter,Secondary,Tachbrook Road,Feltham,TW14 9PD,Open,Mixed,509821,173842,Feltham North,Hounslow 022C,Hounslow,http://www.rivers-aspirations.org/,18-Nov,STATE-FUNDED, , ,2,0,-0.420888,51.4528999
