borough,easting,latitude,longtitude,northing,numberrcpoints,objectid,siteid,sitename,taxipublicuses,url,runtime
Richmond,520008.8994827288,51.464253,-0.273817,175332.84072642814,1,1,2,Upper Richmond Road west of Coval Rd,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Newham,543605.6261034013,51.523421,0.068574,182528.53009116615,2,2,12,Claps Gate Lane Retail park,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Brent,524592.31514180696,51.546586,-0.204599,184604.23447573709,1,3,63,"1 Christchurch Avenue, Kilburn Station, NW6 7QP ",Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Redbridge,540514.75320855307,51.591184,0.027028,189983.24549439573,1,35,558,South Woodford Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Greenwich,540531.48913699761,51.476538,0.022182,177225.12555734196,1,4,74,Old Dover Road west of Dornberg Close - car park,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Haringey,530017.97962389176,51.579178,-0.125007,188367.05681860622,2,5,78,Crouch Hall Rd opp Bryanstone Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hammersmith & Fulham,522999.1943170313,51.519975,-0.228609,181604.36517970893,3,6,87,Scrubbs Lane - Wood Lane Car Park,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Richmond,520271.88623687194,51.464093,-0.270037,175321.24338926666,1,7,129,A205 Upper Richmond Road West east of Carlton Road. ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,526373.98381476535,51.511661,-0.180296,180762.05435913772,1,8,169,Lancaster Gate,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,526115.96909061982,51.523033,-0.183562,182021.04071718361,1,9,174,Warwick Avenue by Clifton Villas,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,527027.99389013217,51.531716,-0.170067,183009.95351046475,2,10,175,Wellington Place by Wellington Rd,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
City of London ,532220.83308557211,51.5164379,-0.0958347,181442.36526562384,1,11,181,Noble Street by Oat Lane,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Enfield,530267.4781879544,51.612634,-0.120025,192096.38885271887,1,12,193,A406 North Circular Rd west of Livingstone Rd,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
