ward_name, area_code
Kilburn,NW6
Mapesbury,NW2
Northwick Park,HA1
Preston,HA9
Queens Park,NW6
Queensbury,HA3
Stonebridge,NW10
Sudbury,HA0
Tokyngton,HA9
Welsh Harp,NW9
Wembley Central,HA9
Willesden Green,NW10
Bickley, BR1
Biggin Hill,BR2
Bromley Common and Keston,BR2
Bromley Town,BR1
Chelsfield and Pratts Bottom,BR6
Chislehurst,BR7
Clock House,BR3
Copers Cope,BR3
Cray Valley East,BR5
Cray Valley West,BR5
Crystal Palace,BR3
Darwin,BR5
Farnborough and Crofton,BR6
Hayes and Coney Hal,BR2   
Kelsey and Eden Park,BR3
Mottingham and Chislehurst North,BR7
Orpington,BR6
Penge and Cator,BR3
Petts Wood and Knoll,BR5
Plaistow and Sundridge,BR1
Shortlands,BR2  
West Wickham,BR4
Belsize,NW3
Bloomsbury,WC1
Camden Town with Primrose Hill,NW1
Cantelowes,NW1
Fortune Green,NW6
Frognal and Fitzjohns,NW3
Gospel Oak,NW5
Hampstead Town,NW3
Haverstock,NW3
Highgate,N6
Holborn and Covent Garden,WC1
Kentish Town,NW5
Kilburn,NW6
King's Cross,WC1
Regent's Park,NW1
St. Pancras and Somers Town,NW1
Swiss Cottage,NW3
West Hampstead,NW6
Aldersgate,EC1
Aldgate,EC3
Bassishaw,EC2
Billingsgate,EC3
Bishopsgate,EC2
Bread Street,EC4
Bridge,EC3
Broad Street,EC2
Candlewick,EC4
Castle Baynard,EC4
Cheap,EC2
Coleman Street,EC2
Cordwainer,EC4
Cornhill,EC3
Cripplegate,EC2
Dowgate,EC4
Farringdon Within,EC4
Farringdon Without,EC1
Langbourn,EC3
Lime Street,EC3
Portsoken,EC3
Queenhithe,EC4
Tower,EC3
Vintry,EC4
Walbrook,EC4
Abbey Road,NW8
Bayswater,W2
Bryanston and Dorset Square,NW1
Churchill,W1
Church Street,NW8
Harrow Road,W9
Hyde Park,W2
Knightsbridge and Belgravia,SW1
Lancaster Gate,W2
Little Venice,W9
Maida Vale,W9
Marylebone High Street,W1
Queen's Park,W9
Regent's Park,NW1
St. James's,SW1
Tachbrook,SW1
Vincent Square,SW1
Warwick,SW1
Westbourne,W9
West End,SW1
Addiscombe East,CR0
Addiscombe West,CR0
Bensham Manor,CR0
Broad Green,CR0
Coulsdon Town,CR5
Crystal Palace & Upper Norwood,SE19
Fairfield,CR0
Kenley,CR8
New Addington North,CR0
New Addington South,CR0
Norbury & Pollards Hill,SW16
Norbury Park,SW16
Old Coulsdon,CR5
Park Hill & Whitgift,CR0
Purley & Woodcote,CR8
Purley Oaks & Riddlesdown,CR8
Sanderstead,CR2
Selhurst,CR0
Selsdon & Addington Village,CR0
Selsdon Vale & Forestdale,CR0
Shirley North,CR0
Shirly South,CR0
South Croydon,CR2
South Norwood,SE25
Thornton Heath,CR7
Waddon,CR0
West Thornton,CR0
Woodside,CR0
Acton Central,W3
Cleveland,W13
Dormers Wells,UB1
Ealing Broadway,W5
Ealing Common,W5
East Acton,W3
Elthorne,W7
Greenford Broadway,UB6
Greenford Greenm,UB6
Hanger Hill,W5
Hobbayne,W7
Lady Margaret,W7
Northfield,W13
North Greenford,UB6
Northolt Mandeville,UB5
Northolt West End,UB5
Norwood Green,UB2
Perivale,UB6
South Acton,W3
Southall Broadway,UB1
Southall Green,UB2
Southfield,W4
Walpole,W13
Bowes,N22
Bush Hill Park,EN1
Chase,EN2
Cockfosters,EN4
Edmonton Green,N9
Enfield Highway,EN3
Enfield Lock,EN3
Grange,EN1
Haselbury,N18
Highlands,EN2
Jubilee,EN1
Lower Edmonton,N9
Palmers Green,N13
Ponders End,EN3
Southbury,EN1
Southgate,EN4
Southgate Green,N14
Town,EN1
Turkey Street,EN3
Upper Edmonton,N18
Winchmore Hill,N21
Abbey Wood,SE2
Blackheath Westcombe,SE3
Charlton,SE7
Coldharbour and New Eltham,SE9
Eltham North,SE9
Eltham South,SE9
Eltham West,SE9
Glyndon,SE18
Greenwich West,SE10
Kidbrooke with Hornfair,SE3
